CODIGO;INCLUSAO
211878;2025-02-11
61122;2017-03-17
86230;2018-05-07
206664;2023-05-09
205009;2022-07-01
206416;2023-03-30
57065;2017-02-01
210274;2024-08-27
51882;2016-10-06
206318;2023-03-08
72764;2017-12-08
155475;2019-11-13
179249;2020-03-19
50498;2011-04-28
208790;2024-03-06
211343;2024-12-26
215594;2026-01-26
216717;2026-04-15
206225;2023-02-15
205202;2022-07-21
211172;2024-11-22
51053;2013-05-29
205585;2022-09-23
162743;2019-12-30
51440;2016-01-28
202157;2021-02-05
213551;2025-07-08
50716;2012-04-17
50711;2012-03-30
50696;2012-03-14
208712;2024-02-28
146116;2019-10-08
216514;2026-04-06
211645;2025-01-27
147165;2019-10-10
210974;2024-10-30
58070;2017-02-06
204069;2022-01-06
208594;2024-02-06
208354;2024-01-12
75846;2018-01-12
82086;2018-03-27
215876;2026-01-30
209110;2024-04-24
209674;2024-06-24
51132;2014-01-23
216802;2026-04-24
188524;2020-05-20
51444;2016-02-01
207774;2023-09-27
200205;2020-09-18
185472;2020-05-13
82144;2018-04-12
50399;2010-12-09
210657;2024-09-23
208785;2024-03-05
66506;2017-08-31
202187;2021-02-09
210874;2024-10-16
202736;2021-06-22
205407;2022-08-26
202477;2021-04-09
216016;2026-02-13
203255;2021-08-18
210688;2024-09-25
210650;2024-09-23
213756;2025-07-24
209706;2024-06-26
207654;2023-09-13
215682;2026-01-19
202798;2021-06-26
209784;2024-07-10
50004;2010-08-11
215457;2026-01-06
216077;2026-02-20
62223;2017-05-03
200964;2020-12-18
92344;2018-06-12
56026;2016-12-22
50220;2010-09-20
90320;2018-06-01
212770;2025-04-22
208030;2023-11-09
212553;2025-04-07
148230;2019-10-17
217066;2026-05-22
212317;2025-04-02
217409;2026-06-12
213136;2025-05-22
206729;2023-05-16
208234;2023-12-19
214164;2025-08-28
203507;2021-09-24
200269;2020-09-11
205428;2022-08-31
169006;2020-02-13
206220;2023-02-14
215384;2025-12-19
208049;2023-11-14
214080;2025-08-22
216742;2026-04-13
202770;2021-06-26
207924;2023-10-24
61106;2017-03-03
207735;2023-09-22
204616;2022-04-12
206905;2023-06-12
207133;2023-07-04
200335;2020-09-25
214245;2025-09-08
106847;2018-12-13
51772;2016-08-23
200879;2020-12-04
208480;2024-01-30
207509;2023-08-18
210776;2024-10-03
216531;2026-03-25
146140;2019-10-08
212722;2025-04-16
202878;2021-07-06
79030;2018-03-02
215373;2025-12-16
214928;2025-10-30
216250;2026-03-18
51516;2016-04-27
212413;2025-03-28
167926;2020-01-30
51692;2016-06-03
204469;2022-03-14
213843;2025-08-15
212726;2025-04-16
100635;2018-09-27
50251;2010-09-23
122613;2019-06-26
212541;2025-04-04
203174;2021-08-05
64326;2017-06-08
150326;2019-10-29
100624;2018-09-20
209239;2024-05-06
204746;2022-05-10
63268;2017-05-18
208771;2024-03-05
204870;2022-06-02
101697;2018-10-11
205385;2022-08-23
148205;2019-10-15
204788;2022-05-18
211870;2025-02-11
212309;2025-03-20
209176;2024-04-30
204028;2021-12-23
208166;2023-12-05
51770;2016-08-22
204225;2022-02-01
146121;2019-10-08
50026;2010-08-16
110039;2019-02-25
212331;2025-03-21
217379;2026-07-06
204567;2022-04-04
211661;2025-01-27
209333;2024-05-15
216736;2026-04-13
70699;2017-11-10
216392;2026-03-24
66444;2017-08-02
214156;2025-09-04
207738;2023-09-22
210957;2024-10-31
203700;2021-10-26
207737;2023-09-22
207723;2023-09-21
210015;2024-07-29
209077;2024-04-22
203448;2021-09-17
189545;2020-05-26
209580;2024-06-12
206561;2023-04-20
212570;2025-04-07
206077;2023-01-18
213474;2025-06-30
190587;2020-06-01
211056;2024-11-11
203547;2021-10-01
204222;2022-01-31
214240;2025-09-04
61129;2017-03-20
148220;2019-10-17
206417;2023-03-27
106867;2019-01-03
212213;2025-03-13
146131;2019-10-08
51974;2016-11-18
212341;2025-03-24
50962;2013-01-17
66372;2017-07-04
209626;2024-06-18
